Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY((""quantum computing"" OR ""quantum algorithm"" OR ""variational quantum"") AND (""optimization"" OR ""metaheuristic"" OR ""evolutionary"")) AND PUBYEAR > 1989 AND PUBYEAR < 2026)"


Number of results : 10

"YEAR",
"2025","1686"
"2024","1282"
"2023","834"
"2022","601"
"2021","411"
"2020","276"
"2019","181"
"2018","123"
"2017","84"
"2016","100"
"2015","67"
"2014","77"
"2013","67"
"2012","98"
"2011","75"
"2010","78"
"2009","60"
"2008","57"
"2007","55"
"2006","31"
"2005","30"
"2004","29"
"2003","25"
"2002","8"
"2001","10"
"2000","2"
"1999","1"
"1998","1"
"1997","1"
"1994","1"
