Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(""global optimization"" OR ""evolutionary algorithm"" OR ""metaheuristic"") AND PUBYEAR > 1989 AND PUBYEAR < 2026)"


Number of results : 10

"YEAR",
"2025","14318"
"2024","12197"
"2023","12023"
"2022","11226"
"2021","9852"
"2020","9053"
"2019","8811"
"2018","8295"
"2017","8217"
"2016","8043"
"2015","7322"
"2014","6347"
"2013","6283"
"2012","6048"
"2011","5672"
"2010","5796"
"2009","5180"
"2008","5959"
"2007","4845"
"2006","4152"
"2005","3194"
"2004","2451"
"2003","1860"
"2002","1578"
"2001","1244"
"2000","1015"
"1999","774"
"1998","618"
"1997","496"
"1996","434"
"1995","286"
"1994","255"
"1993","205"
"1992","205"
"1991","142"
"1990","90"
