Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(""quantum computing"" OR ""quantum algorithm"") AND PUBYEAR > 1989 AND PUBYEAR < 2026)"


Number of results : 10

"YEAR",
"2025","6746"
"2024","5897"
"2023","4135"
"2022","3053"
"2021","2392"
"2020","1734"
"2019","1391"
"2018","949"
"2017","773"
"2016","721"
"2015","595"
"2014","599"
"2013","518"
"2012","577"
"2011","504"
"2010","458"
"2009","481"
"2008","478"
"2007","512"
"2006","421"
"2005","521"
"2004","385"
"2003","452"
"2002","342"
"2001","221"
"2000","172"
"1999","96"
"1998","84"
"1997","30"
"1996","20"
"1995","6"
"1994","3"
"1992","2"
"1991","2"
"1990","2"
